Medal_type;Medal_code;Medal_date;Name;Gender;Discipline;Code_Discipline;Event;url_event;Country_code;Country
Silver Medal;2;2024-07-27;Korea 1;X;Shooting;SHO;10m Air Rifle Mixed Team;https://olympics.com/en/paris-2024/results/shooting/10m-air-rifle-mixed-team/fnl-000100--;KOR;Korea
Gold Medal;1;2024-07-08;China;O;Artistic Swimming;SWA;Team;https://olympics.com/en/paris-2024/results/artistic-swimming/team/fnl-000100--;CHN;China
Silver Medal;2;2024-07-08;United States;O;Artistic Swimming;SWA;Team;https://olympics.com/en/paris-2024/results/artistic-swimming/team/fnl-000100--;USA;United States
Bronze Medal;3;2024-07-27;Italy;M;Swimming;SWM;Men's 4 x 100m Freestyle Relay;https://olympics.com/en/paris-2024/results/swimming/men-s-4-x-100m-freestyle-relay/fnl-000100--;ITA;Italy
Silver Medal;2;2024-04-08;United States;M;Swimming;SWM;Men's 4 x 100m Medley Relay;https://olympics.com/en/paris-2024/results/swimming/men-s-4-x-100m-medley-relay/fnl-000100--;USA;United States
Bronze Medal;3;2024-07-30;Australia;M;Swimming;SWM;Men's 4 x 200m Freestyle Relay;https://olympics.com/en/paris-2024/results/swimming/men-s-4-x-200m-freestyle-relay/fnl-000100--;AUS;Australia
Gold Medal;1;2024-07-27;Australia;W;Swimming;SWM;Women's 4 x 100m Freestyle Relay;https://olympics.com/en/paris-2024/results/swimming/women-s-4-x-100m-freestyle-relay/fnl-000100--;AUS;Australia
Silver Medal;2;2024-04-08;Australia;W;Swimming;SWM;Women's 4 x 100m Medley Relay;https://olympics.com/en/paris-2024/results/swimming/women-s-4-x-100m-medley-relay/fnl-000100--;AUS;Australia
Gold Medal;1;2024-04-08;United States;W;Swimming;SWM;Women's 4 x 100m Medley Relay;https://olympics.com/en/paris-2024/results/swimming/women-s-4-x-100m-medley-relay/fnl-000100--;USA;United States
Bronze Medal;3;2024-09-08;France;M;Table Tennis;TTE;Men's Team;https://olympics.com/en/paris-2024/results/table-tennis/men-s-team/fnl-00020000;FRA;France
Silver Medal;2;2024-10-08;Japan;W;Table Tennis;TTE;Women's Team;https://olympics.com/en/paris-2024/results/table-tennis/women-s-team/fnl-00010000;JPN;Japan
Silver Medal;2;2024-11-08;Croatia;M;Water Polo;WPO;Men;https://olympics.com/en/paris-2024/results/water-polo/men/fnl-000100--;CRO;Croatia
Gold Medal;1;2024-11-08;Serbia;M;Water Polo;WPO;Men;https://olympics.com/en/paris-2024/results/water-polo/men/fnl-000100--;SRB;Serbia
Gold Medal;1;2024-10-08;Spain;W;Water Polo;WPO;Women;https://olympics.com/en/paris-2024/results/water-polo/women/fnl-000100--;ESP;Spain
Silver Medal;2;2024-05-08;Tsige DUGUMA;W;Athletics;ATH;Women's 800m;https://olympics.com/en/paris-2024/results/athletics/women-s-800m/fnl-000100--;ETH;Ethiopia
Silver Medal;2;2024-02-08;Berihu AREGAWI;M;Athletics;ATH;Men's 10,000m;https://olympics.com/en/paris-2024/results/athletics/men-s-10-000m/fnl-000100--;ETH;Ethiopia
Silver Medal;2;2024-08-08;Zaid KAREEM;M;Taekwondo;TKW;Men -68kg;https://olympics.com/en/paris-2024/results/taekwondo/men--68kg/fnl-000100--;JOR;Jordan
Bronze Medal;3;2024-04-08;Daniel WIFFEN;M;Swimming;SWM;Men's 1500m Freestyle;https://olympics.com/en/paris-2024/results/swimming/men-s-1500m-freestyle/fnl-000100--;IRL;Ireland
Gold Medal;1;2024-03-08;Rhys MC CLENAGHAN;M;Artistic Gymnastics;GAR;Men's Pommel Horse;https://olympics.com/en/paris-2024/results/artistic-gymnastics/men-s-pommel-horse/fnl-000001--;IRL;Ireland
Gold Medal;1;2024-07-31;Cassandre BEAUGRAND;W;Triathlon;TRI;Women's Individual;https://olympics.com/en/paris-2024/results/triathlon/women-s-individual/fnl-000100--;FRA;France
Silver Medal;2;2024-08-08;Alireza MOHMADIPIANI;M;Wrestling;WRE;Men's Greco-Roman 87kg;https://olympics.com/en/paris-2024/results/wrestling/men-s-greco-roman-87kg/fnl-000100--;IRI;IR Iran
Gold Medal;1;2024-07-31;Lasha BEKAURI;M;Judo;JUD;Men -90 kg;https://olympics.com/en/paris-2024/results/judo/men--90-kg/fnl-000100--;GEO;Georgia
Bronze Medal;3;2024-07-30;Laura FAZLIU;W;Judo;JUD;Women -63 kg;https://olympics.com/en/paris-2024/results/judo/women--63-kg/repf000200--;KOS;Kosovo
Bronze Medal;3;2024-05-08;Ana BARBOSU;W;Artistic Gymnastics;GAR;Women's Floor Exercise;https://olympics.com/en/paris-2024/results/artistic-gymnastics/women-s-floor-exercise/fnl-000001--;ROU;Romania
Bronze Medal;3;2024-04-08;Lasha GURULI;M;Boxing;BOX;Men's 63.5kg;https://olympics.com/en/paris-2024/results/boxing/men-s-63-5kg/sfnl000200--;GEO;Georgia
Silver Medal;2;2024-10-08;Akbar DJURAEV;M;Weightlifting;WLF;Men's 102kg;https://olympics.com/en/paris-2024/results/weightlifting/men-s-102kg/fnl-000100--;UZB;Uzbekistan
Bronze Medal;3;2024-07-28;Paolo MONNA;M;Shooting;SHO;10m Air Pistol Men;https://olympics.com/en/paris-2024/results/shooting/10m-air-pistol-men/fnl-000100--;ITA;Italy
Gold Medal;1;2024-10-08;Lasha TALAKHADZE;M;Weightlifting;WLF;Men's +102kg;https://olympics.com/en/paris-2024/results/weightlifting/men-s--plus-102kg/fnl-000100--;GEO;Georgia
Bronze Medal;3;2024-06-08;Mattia FURLANI;M;Athletics;ATH;Men's Long Jump;https://olympics.com/en/paris-2024/results/athletics/men-s-long-jump/fnl-000100--;ITA;Italy
Gold Medal;1;2024-06-08;Kellie HARRINGTON;W;Boxing;BOX;Women's 60kg;https://olympics.com/en/paris-2024/results/boxing/women-s-60kg/fnl-000100--;IRL;Ireland
Bronze Medal;3;2024-08-08;Javier IBANEZ DIAZ;M;Boxing;BOX;Men's 57kg;https://olympics.com/en/paris-2024/results/boxing/men-s-57kg/sfnl000200--;BUL;Bulgaria
Gold Medal;1;2024-07-08;Soufiane EL BAKKALI;M;Athletics;ATH;Men's 3000m Steeplechase;https://olympics.com/en/paris-2024/results/athletics/men-s-3000m-steeplechase/fnl-000100--;MAR;Morocco
Gold Medal;1;2024-07-08;Erislandy ALVAREZ BORGES;M;Boxing;BOX;Men's 63.5kg;https://olympics.com/en/paris-2024/results/boxing/men-s-63-5kg/fnl-000100--;CUB;Cuba
Gold Medal;1;2024-09-08;Lazizbek MULLOJONOV;M;Boxing;BOX;Men's 92kg;https://olympics.com/en/paris-2024/results/boxing/men-s-92kg/fnl-000100--;UZB;Uzbekistan
Gold Medal;1;2024-10-08;Razambek Salambekovitch JAMALOV;M;Wrestling;WRE;Men's Freestyle 74kg;https://olympics.com/en/paris-2024/results/wrestling/men-s-freestyle-74kg/fnl-000100--;UZB;Uzbekistan
Bronze Medal;3;2024-07-08;Aleksandra KALUCKA;W;Sport Climbing;CLB;Women's Speed;https://olympics.com/en/paris-2024/results/sport-climbing/women-s-speed/------------;POL;Poland
Gold Medal;1;2024-07-08;Aleksandra MIROSLAW;W;Sport Climbing;CLB;Women's Speed;https://olympics.com/en/paris-2024/results/sport-climbing/women-s-speed/------------;POL;Poland
Silver Medal;2;2024-04-08;Truls MOREGARD;M;Table Tennis;TTE;Men's Singles;https://olympics.com/en/paris-2024/results/table-tennis/men-s-singles/fnl-000100--;SWE;Sweden
Bronze Medal;3;2024-01-08;Muzaffarbek TUROBOYEV;M;Judo;JUD;Men -100 kg;https://olympics.com/en/paris-2024/results/judo/men--100-kg/repf000200--;UZB;Uzbekistan
Bronze Medal;3;2024-07-08;Akzhol MAKHMUDOV;M;Wrestling;WRE;Men's Greco-Roman 77kg;https://olympics.com/en/paris-2024/results/wrestling/men-s-greco-roman-77kg/repf000200--;KGZ;Kyrgyzstan
Gold Medal;1;2024-07-28;Diyora KELDIYOROVA;W;Judo;JUD;Women -52 kg;https://olympics.com/en/paris-2024/results/judo/women--52-kg/fnl-000100--;UZB;Uzbekistan
Gold Medal;1;2024-05-08;Kauli VAAST;M;Surfing;SRF;Men;https://olympics.com/en/paris-2024/results/surfing/men/fnl---------;FRA;France
Silver Medal;2;2024-06-08;Meerim ZHUMANAZAROVA;W;Wrestling;WRE;Women's Freestyle 68kg;https://olympics.com/en/paris-2024/results/wrestling/women-s-freestyle-68kg/fnl-000100--;KGZ;Kyrgyzstan
Gold Medal;1;2024-05-08;Armand DUPLANTIS;M;Athletics;ATH;Men's Pole Vault;https://olympics.com/en/paris-2024/results/athletics/men-s-pole-vault/fnl-000100--;SWE;Sweden
Silver Medal;2;2024-07-08;Yusneylis GUZMAN LOPEZ;W;Wrestling;WRE;Women's Freestyle 50kg;https://olympics.com/en/paris-2024/results/wrestling/women-s-freestyle-50kg/fnl-000100--;CUB;Cuba
Bronze Medal;3;2024-11-08;Milaimy de la Carid. MARIN POTRILLE;W;Wrestling;WRE;Women's Freestyle 76kg;https://olympics.com/en/paris-2024/results/wrestling/women-s-freestyle-76kg/repf000100--;CUB;Cuba
Bronze Medal;3;2024-09-08;Natalia KACZMAREK;W;Athletics;ATH;Women's 400m;https://olympics.com/en/paris-2024/results/athletics/women-s-400m/fnl-000100--;POL;Poland
Bronze Medal;3;2024-03-08;Lindon VICTOR;M;Athletics;ATH;Men's Decathlon;https://olympics.com/en/paris-2024/results/athletics/men-s-decathlon/1500--------;GRN;Grenada
Bronze Medal;3;2024-05-08;TANG Chia-Hung;M;Artistic Gymnastics;GAR;Men's Horizontal Bar;https://olympics.com/en/paris-2024/results/artistic-gymnastics/men-s-horizontal-bar/fnl-000001--;TPE;Chinese Taipei
Gold Medal;1;2024-10-08;Josef DOSTAL;M;Canoe Sprint;CSP;Men's Kayak Single 1000m;https://olympics.com/en/paris-2024/results/canoe-sprint/men-s-kayak-single-1000m/fnl---------;CZE;Czechia
Bronze Medal;3;2024-03-08;WU Shih Yi;W;Boxing;BOX;Women's 60kg;https://olympics.com/en/paris-2024/results/boxing/women-s-60kg/sfnl000100--;TPE;Chinese Taipei
Gold Medal;1;2024-05-08;Viktor AXELSEN;M;Badminton;BDM;Men's Singles;https://olympics.com/en/paris-2024/results/badminton/men-s-singles/fnl-000100--;DEN;Denmark
Bronze Medal;3;2024-07-28;Amandine BUCHARD;W;Judo;JUD;Women -52 kg;https://olympics.com/en/paris-2024/results/judo/women--52-kg/repf000200--;FRA;France
Bronze Medal;3;2024-07-29;Sarah Leonie CYSIQUE;W;Judo;JUD;Women -57 kg;https://olympics.com/en/paris-2024/results/judo/women--57-kg/repf000200--;FRA;France
Silver Medal;2;2024-02-08;Raz HERSHKO;W;Judo;JUD;Women +78 kg;https://olympics.com/en/paris-2024/results/judo/women--plus-78-kg/fnl-000100--;ISR;Israel
Gold Medal;1;2024-10-08;Althea LAURIN;W;Taekwondo;TKW;Women +67kg;https://olympics.com/en/paris-2024/results/taekwondo/women--plus-67kg/fnl-000100--;FRA;France
Gold Medal;1;2024-07-28;OH Ye Jin;W;Shooting;SHO;10m Air Pistol Women;https://olympics.com/en/paris-2024/results/shooting/10m-air-pistol-women/fnl-000100--;KOR;Korea
Gold Medal;1;2024-08-08;Benjamin THOMAS;M;Cycling Track;CTR;Men's Omnium;https://olympics.com/en/paris-2024/results/cycling-track/men-s-omnium/pts-000100--;FRA;France
Gold Medal;1;2024-07-27;TSUNODA Natsumi;W;Judo;JUD;Women -48 kg;https://olympics.com/en/paris-2024/results/judo/women--48-kg/fnl-000100--;JPN;Japan
Bronze Medal;3;2024-07-27;NAGAYAMA Ryuju;M;Judo;JUD;Men -60 kg;https://olympics.com/en/paris-2024/results/judo/men--60-kg/repf000100--;JPN;Japan
Bronze Medal;3;2024-07-08;Surodchana KHAMBAO;W;Weightlifting;WLF;Women's 49kg;https://olympics.com/en/paris-2024/results/weightlifting/women-s-49kg/fnl-000100--;THA;Thailand
Gold Medal;1;2024-07-31;Barbara MATIC;W;Judo;JUD;Women -70 kg;https://olympics.com/en/paris-2024/results/judo/women--70-kg/fnl-000100--;CRO;Croatia
Gold Medal;1;2024-09-08;CHEN Yiwen;W;Diving;DIV;Women's 3m Springboard;https://olympics.com/en/paris-2024/results/diving/women-s-3m-springboard/fnl-000100--;CHN;China
Bronze Medal;3;2024-09-08;CHANG Yani;W;Diving;DIV;Women's 3m Springboard;https://olympics.com/en/paris-2024/results/diving/women-s-3m-springboard/fnl-000100--;CHN;China
Bronze Medal;3;2024-04-08;LEE Wooseok;M;Archery;ARC;Men's Individual;https://olympics.com/en/paris-2024/results/archery/men-s-individual/fnl-000200--;KOR;Korea
Gold Medal;1;2024-03-08;CHEN Meng;W;Table Tennis;TTE;Women's Singles;https://olympics.com/en/paris-2024/results/table-tennis/women-s-singles/fnl-000100--;CHN;China
Gold Medal;1;2024-09-08;THIAM Nafissatou;W;Athletics;ATH;Women's Heptathlon;;BEL;Belgium
Bronze Medal;3;2024-04-08;Lotte KOPECKY;W;Cycling Road;CRD;Women's Road Race;https://olympics.com/en/paris-2024/results/cycling-road/women-s-road-race/fnl-000100--;BEL;Belgium
Bronze Medal;3;2024-09-08;Sarah CHAARI;W;Taekwondo;TKW;Women -67kg;https://olympics.com/en/paris-2024/results/taekwondo/women--67kg/repf000200--;BEL;Belgium
Gold Medal;1;2024-08-08;KIM Yujin;W;Taekwondo;TKW;Women -57kg;https://olympics.com/en/paris-2024/results/taekwondo/women--57kg/fnl-000100--;KOR;Korea
Gold Medal;1;2024-09-08;Jordan Alejandro DIAZ FORTUN;M;Athletics;ATH;Men's Triple Jump;https://olympics.com/en/paris-2024/results/athletics/men-s-triple-jump/fnl-000100--;ESP;Spain
Silver Medal;2;2024-01-08;Maria PEREZ;W;Athletics;ATH;Women's 20km Race Walk;https://olympics.com/en/paris-2024/results/athletics/women-s-20km-race-walk/fnl-000100--;ESP;Spain
Gold Medal;1;2024-07-31;Leon MARCHAND;M;Swimming;SWM;Men's 200m Butterfly;https://olympics.com/en/paris-2024/results/swimming/men-s-200m-butterfly/fnl-000100--;FRA;France
Bronze Medal;3;2024-11-08;Emma FINUCANE;W;Cycling Track;CTR;Women's Sprint;https://olympics.com/en/paris-2024/results/cycling-track/women-s-sprint/fnl---------;GBR;Great Britain
Silver Medal;2;2024-07-27;Anna HENDERSON;W;Cycling Road;CRD;Women's Individual Time Trial;https://olympics.com/en/paris-2024/results/cycling-road/women-s-individual-time-trial/fnl-000100--;GBR;Great Britain
Bronze Medal;3;2024-10-08;LIN Xiyu Janet;W;Golf;GLF;Women's Individual Stroke Play;https://olympics.com/en/paris-2024/results/golf/women-s-individual-stroke-play/fnl---------;CHN;China
Gold Medal;1;2024-07-29;SHENG Lihao;M;Shooting;SHO;10m Air Rifle Men;https://olympics.com/en/paris-2024/results/shooting/10m-air-rifle-men/fnl-000100--;CHN;China
Silver Medal;2;2024-07-29;HUANG Yuting;W;Shooting;SHO;10m Air Rifle Women;https://olympics.com/en/paris-2024/results/shooting/10m-air-rifle-women/fnl-000100--;CHN;China
Bronze Medal;3;2024-09-08;Edi HRNIC;M;Taekwondo;TKW;Men -80kg;https://olympics.com/en/paris-2024/results/taekwondo/men--80kg/repf000200--;DEN;Denmark
Silver Medal;2;2024-04-08;Artur DAVTYAN;M;Artistic Gymnastics;GAR;Men's Vault;https://olympics.com/en/paris-2024/results/artistic-gymnastics/men-s-vault/fnl-000001--;ARM;Armenia
Gold Medal;1;2024-07-31;Jose TORRES GIL;M;Cycling BMX Freestyle;BMF;Men's Park;https://olympics.com/en/paris-2024/results/cycling-bmx-freestyle/men-s-park/fnl-000100--;ARG;Argentina
Bronze Medal;3;2024-07-31;XIAO Ruoteng;M;Artistic Gymnastics;GAR;Men's All-Around;https://olympics.com/en/paris-2024/results/artistic-gymnastics/men-s-all-around/fnl-000001--;CHN;China
Bronze Medal;3;2024-06-08;ZHAO Jie;W;Athletics;ATH;Women's Hammer Throw;https://olympics.com/en/paris-2024/results/athletics/women-s-hammer-throw/fnl-000100--;CHN;China
Gold Medal;1;2024-07-31;DENG Yawen;W;Cycling BMX Freestyle;BMF;Women's Park;https://olympics.com/en/paris-2024/results/cycling-bmx-freestyle/women-s-park/fnl-000100--;CHN;China
Bronze Medal;3;2024-05-08;Sandra ELKASEVIC;W;Athletics;ATH;Women's Discus Throw;https://olympics.com/en/paris-2024/results/athletics/women-s-discus-throw/fnl-000100--;CRO;Croatia
Silver Medal;2;2024-04-08;Tommy FLEETWOOD;M;Golf;GLF;Men's Individual Stroke Play;https://olympics.com/en/paris-2024/results/golf/men-s-individual-stroke-play/fnl---------;GBR;Great Britain
Gold Medal;1;2024-05-08;Keely HODGKINSON;W;Athletics;ATH;Women's 800m;https://olympics.com/en/paris-2024/results/athletics/women-s-800m/fnl-000100--;GBR;Great Britain
Silver Medal;2;2024-06-08;Josh KERR;M;Athletics;ATH;Men's 1500m;https://olympics.com/en/paris-2024/results/athletics/men-s-1500m/fnl-000100--;GBR;Great Britain
Bronze Medal;3;2024-07-31;HAUGHEY Siobhan Bernadette;W;Swimming;SWM;Women's 100m Freestyle;https://olympics.com/en/paris-2024/results/swimming/women-s-100m-freestyle/fnl-000100--;HKG;Hong Kong, China
Silver Medal;2;2024-05-08;Kunlavut VITIDSARN;M;Badminton;BDM;Men's Singles;https://olympics.com/en/paris-2024/results/badminton/men-s-singles/fnl-000100--;THA;Thailand
Gold Medal;1;2024-10-08;LI Qian;W;Boxing;BOX;Women's 75kg;https://olympics.com/en/paris-2024/results/boxing/women-s-75kg/fnl-000100--;CHN;China
Bronze Medal;3;2024-09-08;Simone ALESSIO;M;Taekwondo;TKW;Men -80kg;https://olympics.com/en/paris-2024/results/taekwondo/men--80kg/repf000100--;ITA;Italy
Bronze Medal;3;2024-02-08;Iga SWIATEK;W;Tennis;TEN;Women's Singles;https://olympics.com/en/paris-2024/results/tennis/women-s-singles/fnl-000200--;POL;Poland
Gold Medal;1;2024-10-08;Ahmed ELGENDY;M;Modern Pentathlon;MPN;Men's Individual;https://olympics.com/en/paris-2024/results/modern-pentathlon/men-s-individual/fnl-0001lr--;EGY;Egypt
Silver Medal;2;2024-10-08;Ayoub GHADFA DRISSI EL AISSAOUI;M;Boxing;BOX;Men's +92kg;https://olympics.com/en/paris-2024/results/boxing/men-s--plus-92kg/fnl-000100--;ESP;Spain
Bronze Medal;3;2024-07-28;Gusman KYRGYZBAYEV;M;Judo;JUD;Men -66 kg;https://olympics.com/en/paris-2024/results/judo/men--66-kg/repf000100--;KAZ;Kazakhstan
Bronze Medal;3;2024-07-30;Katharine BERKOFF;W;Swimming;SWM;Women's 100m Backstroke;https://olympics.com/en/paris-2024/results/swimming/women-s-100m-backstroke/fnl-000100--;USA;United States
Silver Medal;2;2024-07-29;Katie GRIMES;W;Swimming;SWM;Women's 400m Individual Medley;https://olympics.com/en/paris-2024/results/swimming/women-s-400m-individual-medley/fnl-000100--;USA;United States
Bronze Medal;3;2024-03-08;Paige MADDEN;W;Swimming;SWM;Women's 800m Freestyle;https://olympics.com/en/paris-2024/results/swimming/women-s-800m-freestyle/fnl-000100--;USA;United States
Bronze Medal;3;2024-07-29;Emma WEYANT;W;Swimming;SWM;Women's 400m Individual Medley;https://olympics.com/en/paris-2024/results/swimming/women-s-400m-individual-medley/fnl-000100--;USA;United States
Gold Medal;1;2024-08-08;Letsile TEBOGO;M;Athletics;ATH;Men's 200m;https://olympics.com/en/paris-2024/results/athletics/men-s-200m/fnl-000100--;BOT;Botswana
Gold Medal;1;2024-10-08;Lydia KO;W;Golf;GLF;Women's Individual Stroke Play;https://olympics.com/en/paris-2024/results/golf/women-s-individual-stroke-play/fnl---------;NZL;New Zealand
Gold Medal;1;2024-09-08;SAKURAI Tsugumi;W;Wrestling;WRE;Women's Freestyle 57kg;https://olympics.com/en/paris-2024/results/wrestling/women-s-freestyle-57kg/fnl-000100--;JPN;Japan
Silver Medal;2;2024-10-08;Jessica HULL;W;Athletics;ATH;Women's 1500m;https://olympics.com/en/paris-2024/results/athletics/women-s-1500m/fnl-000100--;AUS;Australia
Bronze Medal;3;2024-08-08;Charlie SENIOR;M;Boxing;BOX;Men's 57kg;https://olympics.com/en/paris-2024/results/boxing/men-s-57kg/sfnl000100--;AUS;Australia
Gold Medal;1;2024-07-31;Jessica FOX;W;Canoe Slalom;CSL;Women's Canoe Single;https://olympics.com/en/paris-2024/results/canoe-slalom/women-s-canoe-single/fnl-000100--;AUS;Australia
Bronze Medal;3;2024-11-08;Matthew GLAETZER;M;Cycling Track;CTR;Men's Keirin;https://olympics.com/en/paris-2024/results/cycling-track/men-s-keirin/fnl---------;AUS;Australia
Bronze Medal;3;2024-10-08;Neisi Patricia DAJOMES BARRERA;W;Weightlifting;WLF;Women's 81kg;https://olympics.com/en/paris-2024/results/weightlifting/women-s-81kg/fnl-000100--;ECU;Ecuador
Silver Medal;2;2024-09-08;Maddison KEENEY;W;Diving;DIV;Women's 3m Springboard;https://olympics.com/en/paris-2024/results/diving/women-s-3m-springboard/fnl-000100--;AUS;Australia
Silver Medal;2;2024-07-29;Christopher BURTON;O;Equestrian;EQD;Eventing Individual;https://olympics.com/en/paris-2024/results/equestrian/eventing-individual/jump000100--;AUS;Australia
Bronze Medal;3;2024-01-08;Patricia SAMPAIO;W;Judo;JUD;Women -78 kg;https://olympics.com/en/paris-2024/results/judo/women--78-kg/repf000200--;POR;Portugal
Bronze Medal;3;2024-07-29;Alan HATHERLY;M;Cycling Mountain Bike;MTB;Men's Cross-country;https://olympics.com/en/paris-2024/results/cycling-mountain-bike/men-s-cross-country/fnl-000100--;RSA;South Africa
Silver Medal;2;2024-07-08;Tom SCHAAR;M;Skateboarding;SKB;Men's Park;https://olympics.com/en/paris-2024/results/skateboarding/men-s-park/fnl-000100--;USA;United States
Bronze Medal;3;2024-04-08;Austen Jewell SMITH;W;Shooting;SHO;Skeet Women;https://olympics.com/en/paris-2024/results/shooting/skeet-women/fnl-000100--;USA;United States
Gold Medal;1;2024-10-08;Lisa CARRINGTON;W;Canoe Sprint;CSP;Women's Kayak Single 500m;https://olympics.com/en/paris-2024/results/canoe-sprint/women-s-kayak-single-500m/fnl---------;NZL;New Zealand
Gold Medal;1;2024-05-08;Finn BUTCHER;M;Canoe Slalom;CSL;Men's Kayak Cross;https://olympics.com/en/paris-2024/results/canoe-slalom/men-s-kayak-cross/fnl---------;NZL;New Zealand
Silver Medal;2;2024-08-08;Moesha JOHNSON;W;Marathon Swimming;OWS;Women's 10km;https://olympics.com/en/paris-2024/results/marathon-swimming/women-s-10km/fnl-000100--;AUS;Australia
Silver Medal;2;2024-03-08;Grae MORRIS;M;Sailing;SAL;Men's Windsurfing;https://olympics.com/en/paris-2024/results/sailing/men-s-windsurfing/fnl-000100--;AUS;Australia
Gold Medal;1;2024-07-08;Matt WEARN;M;Sailing;SAL;Men's Dinghy;https://olympics.com/en/paris-2024/results/sailing/men-s-dinghy/fnl-000100--;AUS;Australia
Gold Medal;1;2024-06-08;Arisa TREW;W;Skateboarding;SKB;Women's Park;https://olympics.com/en/paris-2024/results/skateboarding/women-s-park/fnl-000100--;AUS;Australia
Gold Medal;1;2024-04-08;Scottie SCHEFFLER;M;Golf;GLF;Men's Individual Stroke Play;https://olympics.com/en/paris-2024/results/golf/men-s-individual-stroke-play/fnl---------;USA;United States
Bronze Medal;3;2024-09-08;Alison dos SANTOS;M;Athletics;ATH;Men's 400m Hurdles;https://olympics.com/en/paris-2024/results/athletics/men-s-400m-hurdles/fnl-000100--;BRA;Brazil
Silver Medal;2;2024-07-28;Willian LIMA;M;Judo;JUD;Men -66 kg;https://olympics.com/en/paris-2024/results/judo/men--66-kg/fnl-000100--;BRA;Brazil
Gold Medal;1;2024-06-08;Amit ELOR;W;Wrestling;WRE;Women's Freestyle 68kg;https://olympics.com/en/paris-2024/results/wrestling/women-s-freestyle-68kg/fnl-000100--;USA;United States
Silver Medal;2;2024-04-08;Brady ELLISON;M;Archery;ARC;Men's Individual;https://olympics.com/en/paris-2024/results/archery/men-s-individual/fnl-000100--;USA;United States
Bronze Medal;3;2024-07-28;Rayssa LEAL;W;Skateboarding;SKB;Women's Street;https://olympics.com/en/paris-2024/results/skateboarding/women-s-street/fnl-000100--;BRA;Brazil
Gold Medal;1;2024-04-08;Novak DJOKOVIC;M;Tennis;TEN;Men's Singles;https://olympics.com/en/paris-2024/results/tennis/men-s-singles/fnl-000100--;SRB;Serbia
Gold Medal;1;2024-01-08;Simone BILES;W;Artistic Gymnastics;GAR;Women's All-Around;https://olympics.com/en/paris-2024/results/artistic-gymnastics/women-s-all-around/fnl-000001--;USA;United States
Bronze Medal;3;2024-03-08;Stephen NEDOROSCIK;M;Artistic Gymnastics;GAR;Men's Pommel Horse;https://olympics.com/en/paris-2024/results/artistic-gymnastics/men-s-pommel-horse/fnl-000001--;USA;United States
Silver Medal;2;2024-05-08;Sam KENDRICKS;M;Athletics;ATH;Men's Pole Vault;https://olympics.com/en/paris-2024/results/athletics/men-s-pole-vault/fnl-000100--;USA;United States
Gold Medal;1;2024-03-08;Ryan CROUSER;M;Athletics;ATH;Men's Shot Put;https://olympics.com/en/paris-2024/results/athletics/men-s-shot-put/fnl-000100--;USA;United States
Gold Medal;1;2024-05-08;Valarie ALLMAN;W;Athletics;ATH;Women's Discus Throw;https://olympics.com/en/paris-2024/results/athletics/women-s-discus-throw/fnl-000100--;USA;United States
Silver Medal;2;2024-01-08;Tatjana SMITH;W;Swimming;SWM;Women's 200m Breaststroke;https://olympics.com/en/paris-2024/results/swimming/women-s-200m-breaststroke/fnl-000100--;RSA;South Africa
Gold Medal;1;2024-07-27;KONG Man Wai Vivian;W;Fencing;FEN;Women's Épée Individual;https://olympics.com/en/paris-2024/results/fencing/women-s-epee-individual/fnl-000100--;HKG;Hong Kong, China
Silver Medal;2;2024-07-28;MATSUSHITA Tomoyuki;M;Swimming;SWM;Men's 400m Individual Medley;https://olympics.com/en/paris-2024/results/swimming/men-s-400m-individual-medley/fnl-000100--;JPN;Japan
Silver Medal;2;2024-10-08;Shelby McEWEN;M;Athletics;ATH;Men's High Jump;https://olympics.com/en/paris-2024/results/athletics/men-s-high-jump/fnl-000100--;USA;United States
Bronze Medal;3;2024-03-08;Simon van DORP;M;Rowing;ROW;Men's Single Sculls;https://olympics.com/en/paris-2024/results/rowing/men-s-single-sculls/fnl---------;NED;Netherlands
Silver Medal;2;2024-08-08;Maude CHARRON;W;Weightlifting;WLF;Women's 59kg;https://olympics.com/en/paris-2024/results/weightlifting/women-s-59kg/fnl-000100--;CAN;Canada
Bronze Medal;3;2024-02-08;Kylie MASSE;W;Swimming;SWM;Women's 200m Backstroke;https://olympics.com/en/paris-2024/results/swimming/women-s-200m-backstroke/fnl-000100--;CAN;Canada
Silver Medal;2;2024-02-08;Manon VEENSTRA;W;Cycling BMX Racing;BMX;Women;https://olympics.com/en/paris-2024/results/cycling-bmx-racing/women/fnl-000100--;NED;Netherlands
Gold Medal;1;2024-07-08;Marit BOUWMEESTER;W;Sailing;SAL;Women's Dinghy;https://olympics.com/en/paris-2024/results/sailing/women-s-dinghy/fnl-000100--;NED;Netherlands
Silver Medal;2;2024-06-08;Peruth CHEMUTAI;W;Athletics;ATH;Women's 3000m Steeplechase;https://olympics.com/en/paris-2024/results/athletics/women-s-3000m-steeplechase/fnl-000100--;UGA;Uganda
Bronze Medal;3;2024-07-31;Caspar CORBEAU;M;Swimming;SWM;Men's 200m Breaststroke;https://olympics.com/en/paris-2024/results/swimming/men-s-200m-breaststroke/fnl-000100--;NED;Netherlands
Gold Medal;1;2024-04-08;Ethan KATZBERG;M;Athletics;ATH;Men's Hammer Throw;https://olympics.com/en/paris-2024/results/athletics/men-s-hammer-throw/fnl-000100--;CAN;Canada
