Medal_type;Medal_code;Medal_date;Name;Gender;Discipline;Code_Discipline;Event;url_event;Country_code;Country
Bronze Medal;3;2024-07-30;Gregorio PALTRINIERI;M;Swimming;SWM;Men's 800m Freestyle;https://olympics.com/en/paris-2024/results/swimming/men-s-800m-freestyle/fnl-000100--;ITA;Italy
Gold Medal;1;2024-07-28;Nicolo MARTINENGHI;M;Swimming;SWM;Men's 100m Breaststroke;https://olympics.com/en/paris-2024/results/swimming/men-s-100m-breaststroke/fnl-000100--;ITA;Italy
Gold Medal;1;2024-06-08;Winfred YAVI;W;Athletics;ATH;Women's 3000m Steeplechase;https://olympics.com/en/paris-2024/results/athletics/women-s-3000m-steeplechase/fnl-000100--;BRN;Bahrain
Silver Medal;2;2024-09-08;Maddison-Lee WESCHE;W;Athletics;ATH;Women's Shot Put;https://olympics.com/en/paris-2024/results/athletics/women-s-shot-put/fnl-000100--;NZL;New Zealand
Bronze Medal;3;2024-02-08;KIM Hayun;W;Judo;JUD;Women +78 kg;https://olympics.com/en/paris-2024/results/judo/women--plus-78-kg/repf000100--;KOR;Korea
Gold Medal;1;2024-01-08;Brian Daniel PINTADO;M;Athletics;ATH;Men's 20km Race Walk;https://olympics.com/en/paris-2024/results/athletics/men-s-20km-race-walk/fnl-000100--;ECU;Ecuador
Bronze Medal;3;2024-09-08;Kristina TEACHOUT;W;Taekwondo;TKW;Women -67kg;https://olympics.com/en/paris-2024/results/taekwondo/women--67kg/repf000100--;USA;United States
Silver Medal;2;2024-03-08;Nariman KURBANOV;M;Artistic Gymnastics;GAR;Men's Pommel Horse;https://olympics.com/en/paris-2024/results/artistic-gymnastics/men-s-pommel-horse/fnl-000001--;KAZ;Kazakhstan
Gold Medal;1;2024-07-27;Yeldos SMETOV;M;Judo;JUD;Men -60 kg;https://olympics.com/en/paris-2024/results/judo/men--60-kg/fnl-000100--;KAZ;Kazakhstan
Gold Medal;1;2024-04-08;Bobby FINKE;M;Swimming;SWM;Men's 1500m Freestyle;https://olympics.com/en/paris-2024/results/swimming/men-s-1500m-freestyle/fnl-000100--;USA;United States
Bronze Medal;3;2024-07-29;Luke HOBSON;M;Swimming;SWM;Men's 200m Freestyle;https://olympics.com/en/paris-2024/results/swimming/men-s-200m-freestyle/fnl-000100--;USA;United States
Silver Medal;2;2024-07-31;Torri HUSKE;W;Swimming;SWM;Women's 100m Freestyle;https://olympics.com/en/paris-2024/results/swimming/women-s-100m-freestyle/fnl-000100--;USA;United States
Bronze Medal;3;2024-07-27;Katie LEDECKY;W;Swimming;SWM;Women's 400m Freestyle;https://olympics.com/en/paris-2024/results/swimming/women-s-400m-freestyle/fnl-000100--;USA;United States
Gold Medal;1;2024-07-31;Katie LEDECKY;W;Swimming;SWM;Women's 1500m Freestyle;https://olympics.com/en/paris-2024/results/swimming/women-s-1500m-freestyle/fnl-000100--;USA;United States
Bronze Medal;3;2024-07-29;Ryan MURPHY;M;Swimming;SWM;Men's 100m Backstroke;https://olympics.com/en/paris-2024/results/swimming/men-s-100m-backstroke/fnl-000100--;USA;United States
Silver Medal;2;2024-01-08;Regan SMITH;W;Swimming;SWM;Women's 200m Butterfly;https://olympics.com/en/paris-2024/results/swimming/women-s-200m-butterfly/fnl-000100--;USA;United States
Gold Medal;1;2024-11-08;Michelle GULYAS;W;Modern Pentathlon;MPN;Women's Individual;https://olympics.com/en/paris-2024/results/modern-pentathlon/women-s-individual/fnl-0001lr--;HUN;Hungary
Silver Medal;2;2024-02-08;Viyaleta BARDZILOUSKAYA;W;Trampoline Gymnastics;GTR;Women;https://olympics.com/en/paris-2024/results/trampoline-gymnastics/women/fnl-000001--;AIN;AIN
Silver Medal;2;2024-09-08;Pedro PICHARDO;M;Athletics;ATH;Men's Triple Jump;https://olympics.com/en/paris-2024/results/athletics/men-s-triple-jump/fnl-000100--;POR;Portugal
Gold Medal;1;2024-10-08;MOTOKI Sakura;W;Wrestling;WRE;Women's Freestyle 62kg;https://olympics.com/en/paris-2024/results/wrestling/women-s-freestyle-62kg/fnl-000100--;JPN;Japan
Gold Medal;1;2024-06-08;FUMITA Kenichiro;M;Wrestling;WRE;Men's Greco-Roman 60kg;https://olympics.com/en/paris-2024/results/wrestling/men-s-greco-roman-60kg/fnl-000100--;JPN;Japan
Bronze Medal;3;2024-04-08;Eleanor PATTERSON;W;Athletics;ATH;Women's High Jump;https://olympics.com/en/paris-2024/results/athletics/women-s-high-jump/fnl-000100--;AUS;Australia
Silver Medal;2;2024-04-08;Nicola OLYSLAGERS;W;Athletics;ATH;Women's High Jump;https://olympics.com/en/paris-2024/results/athletics/women-s-high-jump/fnl-000100--;AUS;Australia
Gold Medal;1;2024-07-08;Nina KENNEDY;W;Athletics;ATH;Women's Pole Vault;https://olympics.com/en/paris-2024/results/athletics/women-s-pole-vault/fnl-000100--;AUS;Australia
Gold Medal;1;2024-02-08;Saya SAKAKIBARA;W;Cycling BMX Racing;BMX;Women;https://olympics.com/en/paris-2024/results/cycling-bmx-racing/women/fnl-000100--;AUS;Australia
Bronze Medal;3;2024-09-08;Angie Paola PALACIOS DAJOMES;W;Weightlifting;WLF;Women's 71kg;https://olympics.com/en/paris-2024/results/weightlifting/women-s-71kg/fnl-000100--;ECU;Ecuador
Gold Medal;1;2024-08-08;Veddriq LEONARDO;M;Sport Climbing;CLB;Men's Speed;https://olympics.com/en/paris-2024/results/sport-climbing/men-s-speed/------------;INA;Indonesia
Bronze Medal;3;2024-03-08;Viktorija SENKUTE;W;Rowing;ROW;Women's Single Sculls;https://olympics.com/en/paris-2024/results/rowing/women-s-single-sculls/fnl---------;LTU;Lithuania
Silver Medal;2;2024-10-08;Bashir ABDI;M;Athletics;ATH;Men's Marathon;https://olympics.com/en/paris-2024/results/athletics/men-s-marathon/fnl-000100--;BEL;Belgium
Silver Medal;2;2024-02-08;Sagen MADDALENA;W;Shooting;SHO;50m Rifle 3 Positions Women;https://olympics.com/en/paris-2024/results/shooting/50m-rifle-3-positions-women/fnl-000100--;USA;United States
Silver Medal;2;2024-03-08;Conner Lynn PRINCE;M;Shooting;SHO;Skeet Men;https://olympics.com/en/paris-2024/results/shooting/skeet-men/fnl-000100--;USA;United States
Bronze Medal;3;2024-01-08;ZHANG Yufei;W;Swimming;SWM;Women's 200m Butterfly;https://olympics.com/en/paris-2024/results/swimming/women-s-200m-butterfly/fnl-000100--;CHN;China
Bronze Medal;3;2024-02-08;WANG Shun;M;Swimming;SWM;Men's 200m Individual Medley;https://olympics.com/en/paris-2024/results/swimming/men-s-200m-individual-medley/fnl-000100--;CHN;China
Silver Medal;2;2024-07-29;Ariarne TITMUS;W;Swimming;SWM;Women's 200m Freestyle;https://olympics.com/en/paris-2024/results/swimming/women-s-200m-freestyle/fnl-000100--;AUS;Australia
Silver Medal;2;2024-03-08;Ariarne TITMUS;W;Swimming;SWM;Women's 800m Freestyle;https://olympics.com/en/paris-2024/results/swimming/women-s-800m-freestyle/fnl-000100--;AUS;Australia
Bronze Medal;3;2024-07-27;Eszter MUHARI;W;Fencing;FEN;Women's Épée Individual;https://olympics.com/en/paris-2024/results/fencing/women-s-epee-individual/fnl-000200--;HUN;Hungary
Gold Medal;1;2024-09-08;Firas KATOUSSI;M;Taekwondo;TKW;Men -80kg;https://olympics.com/en/paris-2024/results/taekwondo/men--80kg/fnl-000100--;TUN;Tunisia
Bronze Medal;3;2024-07-29;Nick ITKIN;M;Fencing;FEN;Men's Foil Individual;https://olympics.com/en/paris-2024/results/fencing/men-s-foil-individual/fnl-000200--;USA;United States
